,precision,recall,f1-score,support
A,1.0,0.99,0.9949748743718593,100.0
B,1.0,0.87,0.93048128342246,100.0
C,1.0,0.95,0.9743589743589743,100.0
D,0.974025974025974,0.75,0.847457627118644,100.0
E,1.0,0.99,0.9949748743718593,100.0
F,1.0,0.95,0.9743589743589743,100.0
G,0.9863013698630136,0.72,0.8323699421965318,100.0
H,1.0,0.78,0.8764044943820225,100.0
I,1.0,0.84,0.9130434782608695,100.0
J,1.0,0.98,0.98989898989899,100.0
K,1.0,0.78,0.8764044943820225,100.0
L,1.0,0.95,0.9743589743589743,100.0
M,1.0,0.86,0.9247311827956989,100.0
N,1.0,0.89,0.9417989417989417,100.0
O,0.99,0.99,0.99,100.0
P,0.99,0.99,0.99,100.0
Q,1.0,0.93,0.9637305699481865,100.0
R,1.0,0.66,0.7951807228915663,100.0
S,1.0,0.94,0.9690721649484536,100.0
T,1.0,0.81,0.8950276243093923,100.0
U,1.0,0.28,0.4375,100.0
V,1.0,0.6,0.75,100.0
W,1.0,0.61,0.7577639751552795,100.0
X,1.0,0.68,0.8095238095238095,100.0
Y,1.0,0.91,0.9528795811518325,100.0
Z,1.0,0.68,0.8095238095238095,100.0
micro avg,0.9976668222118525,0.8223076923076923,0.901539110267763,2600.0
macro avg,0.9977048978418842,0.8223076923076923,0.890993052443429,2600.0
weighted avg,0.997704897841884,0.8223076923076923,0.8909930524434289,2600.0
